primer,role,mg_total,mg_free,tm_on,tm_off,n_mismatch,best_offtarget,S
F3,"outer fwd",2.0,0.5000,53.353,33.485,6,"DENV-4 AY947539.1 pos2318(-) 6mm",19.868
F3,"outer fwd",2.5,0.9540,54.856,34.955,6,"DENV-4 AY947539.1 pos2318(-) 6mm",19.901
F3,"outer fwd",3.0,1.4363,55.711,35.802,6,"DENV-4 AY947539.1 pos2318(-) 6mm",19.910
F3,"outer fwd",3.5,1.9272,56.279,36.370,6,"DENV-4 AY947539.1 pos2318(-) 6mm",19.910
F3,"outer fwd",4.0,2.4217,56.693,36.787,6,"DENV-4 AY947539.1 pos2318(-) 6mm",19.907
F3,"outer fwd",4.5,2.9181,57.013,37.112,6,"DENV-4 AY947539.1 pos2318(-) 6mm",19.902
F3,"outer fwd",5.0,3.4155,57.271,37.375,6,"DENV-4 AY947539.1 pos2318(-) 6mm",19.896
F3,"outer fwd",5.5,3.9135,57.484,37.594,6,"DENV-4 AY947539.1 pos2318(-) 6mm",19.890
F3,"outer fwd",6.0,4.4120,57.665,37.781,6,"DENV-4 AY947539.1 pos2318(-) 6mm",19.884
F3,"outer fwd",6.5,4.9108,57.821,37.943,6,"DENV-4 AY947539.1 pos2318(-) 6mm",19.877
F3,"outer fwd",7.0,5.4098,57.957,38.086,6,"DENV-4 AY947539.1 pos2318(-) 6mm",19.871
F3,"outer fwd",7.5,5.9090,58.077,38.212,6,"DENV-4 AY947539.1 pos2318(-) 6mm",19.865
F3,"outer fwd",8.0,6.4083,58.184,38.325,6,"DENV-4 AY947539.1 pos2318(-) 6mm",19.859
F3,"outer fwd",8.5,6.9077,58.280,38.428,6,"DENV-4 AY947539.1 pos2318(-) 6mm",19.853
F3,"outer fwd",9.0,7.4072,58.368,38.521,6,"DENV-4 AY947539.1 pos2318(-) 6mm",19.847
F3,"outer fwd",9.5,7.9067,58.447,38.606,6,"DENV-4 AY947539.1 pos2318(-) 6mm",19.841
F3,"outer fwd",10.0,8.4063,58.520,38.685,6,"DENV-4 AY947539.1 pos2318(-) 6mm",19.836
B3,"outer rev",2.0,0.5000,53.355,22.536,5,"DENV-2 AF038403.1 pos1992(+) 5mm",30.819
B3,"outer rev",2.5,0.9540,54.858,23.947,5,"DENV-2 AF038403.1 pos1992(+) 5mm",30.911
B3,"outer rev",3.0,1.4363,55.714,24.763,5,"DENV-2 AF038403.1 pos1992(+) 5mm",30.951
B3,"outer rev",3.5,1.9272,56.282,25.312,5,"DENV-2 AF038403.1 pos1992(+) 5mm",30.970
B3,"outer rev",4.0,2.4217,56.696,25.716,5,"DENV-2 AF038403.1 pos1992(+) 5mm",30.980
B3,"outer rev",4.5,2.9181,57.016,26.031,5,"DENV-2 AF038403.1 pos1992(+) 5mm",30.985
B3,"outer rev",5.0,3.4155,57.273,26.287,5,"DENV-2 AF038403.1 pos1992(+) 5mm",30.987
B3,"outer rev",5.5,3.9135,57.487,26.500,5,"DENV-2 AF038403.1 pos1992(+) 5mm",30.986
B3,"outer rev",6.0,4.4120,57.667,26.683,5,"DENV-2 AF038403.1 pos1992(+) 5mm",30.985
B3,"outer rev",6.5,4.9108,57.823,26.841,5,"DENV-2 AF038403.1 pos1992(+) 5mm",30.982
B3,"outer rev",7.0,5.4098,57.959,26.980,5,"DENV-2 AF038403.1 pos1992(+) 5mm",30.979
B3,"outer rev",7.5,5.9090,58.079,27.104,5,"DENV-2 AF038403.1 pos1992(+) 5mm",30.975
B3,"outer rev",8.0,6.4083,58.187,27.215,5,"DENV-2 AF038403.1 pos1992(+) 5mm",30.971
B3,"outer rev",8.5,6.9077,58.283,27.316,5,"DENV-2 AF038403.1 pos1992(+) 5mm",30.967
B3,"outer rev",9.0,7.4072,58.370,27.407,5,"DENV-2 AF038403.1 pos1992(+) 5mm",30.963
B3,"outer rev",9.5,7.9067,58.450,27.491,5,"DENV-2 AF038403.1 pos1992(+) 5mm",30.959
B3,"outer rev",10.0,8.4063,58.523,27.568,5,"DENV-2 AF038403.1 pos1992(+) 5mm",30.954
FIP,"FIP target-binding core = F2 (22 nt)",2.0,0.5000,53.155,28.289,6,"DENV-4 AY947539.1 pos1771(+) 6mm",24.867
FIP,"FIP target-binding core = F2 (22 nt)",2.5,0.9540,54.656,29.662,6,"DENV-4 AY947539.1 pos1771(+) 6mm",24.994
FIP,"FIP target-binding core = F2 (22 nt)",3.0,1.4363,55.511,30.451,6,"DENV-4 AY947539.1 pos1771(+) 6mm",25.060
FIP,"FIP target-binding core = F2 (22 nt)",3.5,1.9272,56.078,30.977,6,"DENV-4 AY947539.1 pos1771(+) 6mm",25.101
FIP,"FIP target-binding core = F2 (22 nt)",4.0,2.4217,56.491,31.363,6,"DENV-4 AY947539.1 pos1771(+) 6mm",25.128
FIP,"FIP target-binding core = F2 (22 nt)",4.5,2.9181,56.811,31.663,6,"DENV-4 AY947539.1 pos1771(+) 6mm",25.148
FIP,"FIP target-binding core = F2 (22 nt)",5.0,3.4155,57.068,31.906,6,"DENV-4 AY947539.1 pos1771(+) 6mm",25.162
FIP,"FIP target-binding core = F2 (22 nt)",5.5,3.9135,57.281,32.108,6,"DENV-4 AY947539.1 pos1771(+) 6mm",25.174
FIP,"FIP target-binding core = F2 (22 nt)",6.0,4.4120,57.462,32.279,6,"DENV-4 AY947539.1 pos1771(+) 6mm",25.182
FIP,"FIP target-binding core = F2 (22 nt)",6.5,4.9108,57.617,32.428,6,"DENV-4 AY947539.1 pos1771(+) 6mm",25.189
FIP,"FIP target-binding core = F2 (22 nt)",7.0,5.4098,57.753,32.558,6,"DENV-4 AY947539.1 pos1771(+) 6mm",25.195
FIP,"FIP target-binding core = F2 (22 nt)",7.5,5.9090,57.873,32.674,6,"DENV-4 AY947539.1 pos1771(+) 6mm",25.200
FIP,"FIP target-binding core = F2 (22 nt)",8.0,6.4083,57.980,32.777,6,"DENV-4 AY947539.1 pos1771(+) 6mm",25.204
FIP,"FIP target-binding core = F2 (22 nt)",8.5,6.9077,58.077,32.870,6,"DENV-4 AY947539.1 pos1771(+) 6mm",25.207
FIP,"FIP target-binding core = F2 (22 nt)",9.0,7.4072,58.164,32.955,6,"DENV-4 AY947539.1 pos1771(+) 6mm",25.209
FIP,"FIP target-binding core = F2 (22 nt)",9.5,7.9067,58.243,33.032,6,"DENV-4 AY947539.1 pos1771(+) 6mm",25.211
FIP,"FIP target-binding core = F2 (22 nt)",10.0,8.4063,58.316,33.103,6,"DENV-4 AY947539.1 pos1771(+) 6mm",25.213
BIP,"BIP target-binding core = B2 (22 nt)",2.0,0.5000,53.742,30.451,5,"DENV-3 M93130.1 pos6927(-) 5mm",23.290
BIP,"BIP target-binding core = B2 (22 nt)",2.5,0.9540,55.193,31.892,5,"DENV-3 M93130.1 pos6927(-) 5mm",23.301
BIP,"BIP target-binding core = B2 (22 nt)",3.0,1.4363,56.016,32.722,5,"DENV-3 M93130.1 pos6927(-) 5mm",23.293
BIP,"BIP target-binding core = B2 (22 nt)",3.5,1.9272,56.560,33.279,5,"DENV-3 M93130.1 pos6927(-) 5mm",23.281
BIP,"BIP target-binding core = B2 (22 nt)",4.0,2.4217,56.955,33.688,5,"DENV-3 M93130.1 pos6927(-) 5mm",23.267
BIP,"BIP target-binding core = B2 (22 nt)",4.5,2.9181,57.259,34.006,5,"DENV-3 M93130.1 pos6927(-) 5mm",23.253
BIP,"BIP target-binding core = B2 (22 nt)",5.0,3.4155,57.503,34.264,5,"DENV-3 M93130.1 pos6927(-) 5mm",23.239
BIP,"BIP target-binding core = B2 (22 nt)",5.5,3.9135,57.705,34.479,5,"DENV-3 M93130.1 pos6927(-) 5mm",23.226
BIP,"BIP target-binding core = B2 (22 nt)",6.0,4.4120,57.876,34.662,5,"DENV-3 M93130.1 pos6927(-) 5mm",23.214
BIP,"BIP target-binding core = B2 (22 nt)",6.5,4.9108,58.023,34.821,5,"DENV-3 M93130.1 pos6927(-) 5mm",23.202
BIP,"BIP target-binding core = B2 (22 nt)",7.0,5.4098,58.151,34.961,5,"DENV-3 M93130.1 pos6927(-) 5mm",23.190
BIP,"BIP target-binding core = B2 (22 nt)",7.5,5.9090,58.263,35.084,5,"DENV-3 M93130.1 pos6927(-) 5mm",23.179
BIP,"BIP target-binding core = B2 (22 nt)",8.0,6.4083,58.364,35.196,5,"DENV-3 M93130.1 pos6927(-) 5mm",23.168
BIP,"BIP target-binding core = B2 (22 nt)",8.5,6.9077,58.454,35.296,5,"DENV-3 M93130.1 pos6927(-) 5mm",23.158
BIP,"BIP target-binding core = B2 (22 nt)",9.0,7.4072,58.535,35.387,5,"DENV-3 M93130.1 pos6927(-) 5mm",23.148
BIP,"BIP target-binding core = B2 (22 nt)",9.5,7.9067,58.609,35.471,5,"DENV-3 M93130.1 pos6927(-) 5mm",23.138
